match_id,1is_pick,1team,1hero_id,2is_pick,2team,2hero_id,3is_pick,3team,3hero_id,4is_pick,4team,4hero_id,5is_pick,5team,5hero_id,6is_pick,6team,6hero_id,7is_pick,7team,7hero_id,8is_pick,8team,8hero_id,9is_pick,9team,9hero_id,10is_pick,10team,10hero_id,11is_pick,11team,11hero_id,12is_pick,12team,12hero_id,13is_pick,13team,13hero_id,14is_pick,14team,14hero_id,15is_pick,15team,15hero_id,16is_pick,16team,16hero_id,17is_pick,17team,17hero_id,18is_pick,18team,18hero_id,19is_pick,19team,19hero_id,20is_pick,20team,20hero_id,21is_pick,21team,21hero_id,22is_pick,22team,22hero_id
5063303725,1,1,85,1,0,23,1,1,97,1,0,102,1,1,52,1,0,41,1,1,86,1,0,72,1,0,57,1,1,96,1,1,19,1,0,42,1,1,84,1,0,93,1,0,87,1,1,37,1,0,25,1,1,109,1,0,22,1,1,6,1,1,39,1,0,49
5063361439,1,1,90,1,0,102,1,1,84,1,0,57,1,1,97,1,0,79,1,1,112,1,0,9,1,0,16,1,1,23,1,1,76,1,0,41,1,1,85,1,0,86,1,0,68,1,1,5,1,0,106,1,1,1,1,0,104,1,1,73,1,1,38,1,0,18
5063386273,1,1,85,1,0,41,1,1,97,1,0,57,1,1,52,1,0,102,1,1,23,1,0,72,1,0,84,1,1,79,1,1,19,1,0,109,1,1,16,1,0,54,1,0,86,1,1,5,1,0,28,1,1,89,1,0,65,1,1,106,1,1,39,1,0,76
5063429999,1,0,84,1,1,102,1,0,41,1,1,57,1,0,90,1,1,79,1,0,85,1,1,9,1,1,2,1,0,23,1,0,106,1,1,54,1,0,72,1,1,4,1,1,68,1,0,86,1,1,18,1,0,67,1,1,104,1,0,47,1,0,25,1,1,17
5063516529,1,1,84,1,0,102,1,1,41,1,0,57,1,1,9,1,0,79,1,1,85,1,0,90,1,0,106,1,1,104,1,1,97,1,0,73,1,1,2,1,0,4,1,0,83,1,1,72,1,0,55,1,1,27,1,0,52,1,1,18,1,1,25,1,0,42
5063548130,1,0,105,1,1,66,1,0,41,1,1,23,1,0,5,1,1,25,1,0,52,1,1,102,1,1,90,1,0,120,1,0,4,1,1,85,1,0,106,1,1,8,1,1,119,1,0,79,1,1,72,1,0,109,1,1,58,1,0,10,1,0,43,1,1,113
5063564477,1,1,102,1,0,84,1,1,57,1,0,41,1,1,79,1,0,9,1,1,72,1,0,85,1,0,104,1,1,2,1,1,54,1,0,106,1,1,4,1,0,68,1,0,90,1,1,111,1,0,25,1,1,43,1,0,86,1,1,73,1,1,19,1,0,67
5063579352,1,1,58,1,0,23,1,1,52,1,0,66,1,1,97,1,0,102,1,1,5,1,0,9,1,0,3,1,1,22,1,1,8,1,0,4,1,1,106,1,0,16,1,0,72,1,1,104,1,0,19,1,1,41,1,0,76,1,1,2,1,1,45,1,0,14
5063592374,1,0,105,1,1,66,1,0,41,1,1,23,1,0,5,1,1,25,1,0,52,1,1,102,1,1,90,1,0,60,1,0,77,1,1,85,1,0,72,1,1,17,1,1,4,1,0,68,1,1,119,1,0,10,1,1,100,1,0,76,1,0,19,1,1,46
5063647084,1,0,66,1,1,25,1,0,23,1,1,41,1,0,102,1,1,9,1,0,5,1,1,90,1,1,72,1,0,129,1,0,105,1,1,46,1,0,86,1,1,4,1,1,100,1,0,119,1,1,14,1,0,93,1,1,49,1,0,61,1,0,114,1,1,76
5063674385,1,1,102,1,0,41,1,1,23,1,0,104,1,1,9,1,0,97,1,1,66,1,0,16,1,0,121,1,1,19,1,1,45,1,0,8,1,1,98,1,0,57,1,0,90,1,1,54,1,0,15,1,1,39,1,0,65,1,1,89,1,1,38,1,0,49
5063678817,1,0,66,1,1,25,1,0,23,1,1,9,1,0,102,1,1,41,1,0,5,1,1,90,1,1,72,1,0,16,1,0,105,1,1,46,1,0,86,1,1,4,1,1,100,1,0,88,1,1,14,1,0,54,1,1,49,1,0,93,1,0,52,1,1,53
