match_id,radiant_win,duration
4897909227,0,2688
4969292028,1,2200
5062773143,0,3738
4832947918,0,1394
4983729131,0,1347
5056094790,0,2334
4888974952,1,1999
5056888792,0,1611
4967770591,0,2600
5063386273,0,2079
5056306288,0,2149
4896998377,1,3269
4973107373,1,2243
5059558169,0,3207
5055123674,1,2035
5059434506,1,2261
5115147279,0,3730
5061028767,1,2531
4971602368,0,3623
5055484565,0,4014
5050423081,0,1971
5055435501,0,3862
4903051772,1,1924
5061201356,0,945
4897538425,1,1295
5050332172,0,3292
5058749252,1,2268
5114607844,1,2702
5058216603,0,1476
5103822776,0,2024
5055153190,0,1589
4980430921,0,2811
4891072664,0,1908
5114544428,0,2861
4860601984,1,2856
4981810133,1,4685
4889502467,1,3302
4986362254,0,1403
4893508790,0,2147
5055392784,1,1717
4889038294,1,2629
5061340814,1,1954
5057097966,1,2519
5052093333,0,2415
4900655165,1,2047
4896604807,1,2233
4890440666,1,4350
5063678817,1,2423
5055505263,1,1533
5118844331,1,1798
4897995859,1,1919
5058540490,1,2155
4971219223,1,1787
5056122980,0,1328
5114919473,1,2249
4891314538,1,3609
4863759163,1,4568
5057891693,0,4154
4972958554,1,1935
4872748442,1,1657
5062257263,1,1157
4862093137,1,2586
5059699896,0,2685
5061881011,1,1401
4896537708,1,1923
4968150000,1,4934
5056286885,0,2315
4973017840,0,1305
5052017733,1,3015
5104773524,1,1916
5055372767,1,2554
4894507951,0,2436
5120209497,1,2323
5058132087,1,2724
4984038549,0,2398
5056239063,0,2015
5106759756,1,2061
5103509481,0,2742
5124467250,0,2783
4889722230,1,2418
4980637380,0,2561
4967654870,1,2484
4976789940,1,2704
4972973191,1,2207
4899564616,0,2504
5061519731,1,2949
5056162994,0,3319
5056789044,0,1893
4898118360,1,1430
5057188028,0,1532
4889496502,0,2239
5052086914,1,1905
5056587231,0,1030
4859564369,1,1553
4969560020,0,2328
5057297643,0,1749
4973182943,1,908
4875096452,1,2551
4972964911,0,2970
5056271376,0,1821
5056825251,1,3798
5056129018,1,2374
5055008033,0,2339
4899109599,0,1982
4981912277,0,3471
5058075836,1,1927
5103535683,0,2218
4835973421,0,3504
4833120790,0,2700
4901998619,0,1386
4875616323,0,3896
5114926882,1,3216
4898694845,1,2417
4973304079,0,2255
5055822905,1,2113
5063210591,0,4428
5057991418,1,4033
4892423570,1,2092
4967655141,0,3605
4843909697,0,2653
4967996576,0,3289
4890640926,1,1382
4859691191,1,1210
4897388384,0,2559
5055526151,1,2768
5055062512,0,2681
4971353216,1,2417
5061665863,1,2446
5116058924,0,2081
5118069936,0,2903
4835803139,0,2015
5058932481,1,2031
4889981518,1,2936
4859786676,1,3345
5062887155,0,3008
5057678163,0,2178
4904261164,1,1901
5119049835,0,2395
5050426905,1,1500
4969748381,0,2199
4969274267,0,1475
5062205637,0,1933
5056008859,1,1549
4967877032,0,2866
4970923784,1,3571
5057658837,1,2139
5058080692,1,1637
4967765768,1,1684
5059032665,0,2600
5057044468,0,1932
4892061752,1,3251
5062802241,1,3705
4859563845,1,2291
5055751056,0,1869
4976841293,0,2551
5125693570,1,1922
5061061339,0,2906
4889691529,0,2791
4897146193,0,2476
5062403722,0,2025
5063207905,0,2242
4857329614,0,1603
4969185930,1,1935
5060480950,0,1529
5114848193,1,1165
5058157203,1,1039
5118809836,1,1781
4978988612,0,1980
5058459860,1,3792
4904171017,0,2034
5050355108,1,1352
4893194768,0,2191
5057599415,0,2759
4836366115,0,1869
4894083817,0,2664
5120117107,0,2120
5050526652,0,2320
4967969353,0,1986
4968280282,0,2115
4978505997,0,2904
4900279672,0,2084
5062245048,1,1817
5063674385,0,1985
5060704777,1,1137
4891028474,0,2290
5055821409,0,2577
5057778010,0,2737
4896762736,0,3090
5115314335,1,1416
5062467773,1,1232
4895878753,0,1921
5114785695,1,1587
5061389167,0,1292
4967601727,0,2873
5056487831,0,1855
5060940273,1,5025
4857624404,0,2354
4968169805,1,1566
4983489657,0,1412
5108131485,1,2050
5056122805,0,2698
5057808195,1,1745
5058736088,0,2313
4897880263,0,1955
4969584026,0,2033
5055007942,1,1922
5114536986,0,2349
5120078148,1,2180
4902576905,1,1843
5058936515,0,2578
4862569782,0,1422
4897970627,0,2567
5056855686,1,3098
